id,name,short_name,aliases,categories,contact,founded_year,registered_capital,certifications,performance_rating,performance_notes,risk_level,risk_flags,price_items,delivery_days,warranty_months,payment_terms
SUP-1001,华云数据技术有限公司,华云数据,华云科技|华云,IT设备,张明 138-0000-1001,2012,80000000,ISO9001|ISO27001|高新技术企业,4.6,近三年交付及时率98%，售后4小时响应,低,,2U机架式服务器(Intel Xeon 双路 128GB)=51500|48口万兆交换机=26000|42U标准机柜=4800,28,36,货到验收合格后 30 天电汇
SUP-1002,中科智算网络科技有限公司,中科智算,中科智算科技|中科网络,IT设备,李娜 139-0000-1002,2008,120000000,ISO9001|ISO14001|CMMI3,4.4,大型集团客户经验丰富，渠道交付稳定,低,,2U机架式服务器(Intel Xeon 双路 128GB)=53500|48口万兆交换机=26000|42U标准机柜=3000,22,36,预付 30%，货到验收合格后 60 天付清
SUP-1003,神州科服信息技术有限公司,神州科服,神州科服信息,IT设备,王强 137-0000-1003,2015,50000000,ISO9001,3.8,价格有竞争力，但2024年有一次交付延误记录,中,2024年Q3一次交付延误3天,2U机架式服务器(Intel Xeon 双路 128GB)=52500|48口万兆交换机=25500|42U标准机柜=3800,30,24,货到验收合格后 30 天电汇
SUP-1004,蓝海云联(深圳)科技有限公司,蓝海云联,蓝海云联科技|蓝海科技,IT设备|办公设备,陈晨 136-0000-1004,2019,20000000,ISO9001,4.1,性价比导向，产能与交期弹性偏弱,低,成立年限较短(2019年),2U机架式服务器(Intel Xeon 双路 128GB)=48000|48口万兆交换机=25000|42U标准机柜=3000,45,24,货到验收合格后 30 天电汇
SUP-1008,天擎科技(东莞)有限公司,天擎科技,天擎电子,IT设备,赵雷 135-0000-1008,2011,3000000,,3.2,以代工为主，曾被列入环保处罚名单,高,环保处罚记录|代工为主缺乏原厂授权,2U机架式服务器(Intel Xeon 双路 128GB)=44500|48口万兆交换机=24000|42U标准机柜=4000,18,24,全款预付后发货
SUP-1005,恒信办公设备(上海)有限公司,恒信办公,恒信设备,办公设备,周琳 138-0000-1005,2013,30000000,ISO9001|ISO14001,4.3,办公设备整线方案成熟,低,,激光打印机=2800|办公椅(人体工学)=650|会议平板=6800,15,24,货到验收合格后 30 天电汇
SUP-1006,华重工业装备集团有限公司,华重装备,华重工业,生产设备,刘工 139-0000-1006,2005,500000000,ISO9001|ISO14001|ISO45001|CE,4.7,大型机床与自动化产线头部供应商,低,,数控加工中心=480000|自动化上下料机构=88000,120,12,预付 30%，验收合格后付清
SUP-1007,新材供应链股份有限公司,新材供应链,新材股份,工业原料,孙总 137-0000-1007,2010,90000000,ISO9001|ISO14001,4.0,大宗原料渠道稳定，价格随行就市,低,,铝合金型材(6063)=24.5|工业树脂(kg)=18,10,0,货到后 15 天电汇
SUP-1009,恒运供应链物流有限公司,恒运物流,恒运供应链,物流服务,钱经理 136-0000-1009,2014,25000000,ISO9001|道路运输经营许可,4.2,区域干线运输与仓储一体化,低,,整车干线运输(单程)=5800|零担(元/kg)=1.2,5,0,月结 30 天
SUP-1010,远卓质量技术服务有限公司,远卓检测,远卓技术,专业服务,吴工 135-0000-1010,2016,8000000,CNAS|CMA,4.4,第三方检测与认证服务,低,,检测认证服务(项)=12000,20,0,预付 50%，报告交付后付清
