supplier_id,item_description,unit_price
SUP-1001,2U机架式服务器(Intel Xeon 双路 128GB),51500
SUP-1001,48口万兆交换机,26000
SUP-1001,42U标准机柜,4800
SUP-1002,2U机架式服务器(Intel Xeon 双路 128GB),53500
SUP-1002,48口万兆交换机,26000
SUP-1002,42U标准机柜,3000
SUP-1003,2U机架式服务器(Intel Xeon 双路 128GB),52500
SUP-1003,48口万兆交换机,25500
SUP-1003,42U标准机柜,3800
SUP-1004,2U机架式服务器(Intel Xeon 双路 128GB),48000
SUP-1004,48口万兆交换机,25000
SUP-1004,42U标准机柜,3000
SUP-1008,2U机架式服务器(Intel Xeon 双路 128GB),44500
SUP-1008,48口万兆交换机,24000
SUP-1008,42U标准机柜,4000
SUP-1005,激光打印机,2800
SUP-1005,办公椅(人体工学),650
SUP-1005,会议平板,6800
SUP-1006,数控加工中心,480000
SUP-1006,自动化上下料机构,88000
SUP-1007,铝合金型材(6063),24.5
SUP-1007,工业树脂(kg),18
SUP-1009,整车干线运输(单程),5800
SUP-1009,零担(元/kg),1.2
SUP-1010,检测认证服务(项),12000
